t1,t2,cost,n_auto,n_manual,n_reject,appr_rate,manual_rate,reject_rate
0.15000000000000002,0.6499999999999999,325448.0,207473,38495,40,0.8433587525608923,0.15647865110077722,0.0001625963383304608
0.15000000000000002,0.6599999999999999,325448.0,207473,38518,17,0.8433587525608923,0.15657214399531721,6.910344379044584e-05
0.15000000000000002,0.6699999999999999,325448.0,207473,38518,17,0.8433587525608923,0.15657214399531721,6.910344379044584e-05
0.15000000000000002,0.6799999999999999,325448.0,207473,38518,17,0.8433587525608923,0.15657214399531721,6.910344379044584e-05
0.15000000000000002,0.69,325448.0,207473,38518,17,0.8433587525608923,0.15657214399531721,6.910344379044584e-05
0.15000000000000002,0.7,325448.0,207473,38518,17,0.8433587525608923,0.15657214399531721,6.910344379044584e-05
0.16,0.2,325448.0,214598,11087,20323,0.8723212253260056,0.04506764007674547,0.08261113459724886
0.16,0.21000000000000002,325448.0,214598,13563,17847,0.8723212253260056,0.055132353419400995,0.07254642125459335
0.16,0.22,325448.0,214598,17272,14138,0.8723212253260056,0.07020909889109297,0.05746967578290137
0.16,0.23,325448.0,214598,17272,14138,0.8723212253260056,0.07020909889109297,0.05746967578290137
0.16,0.24,325448.0,214598,17272,14138,0.8723212253260056,0.07020909889109297,0.05746967578290137
0.16,0.25,325448.0,214598,20082,11328,0.8723212253260056,0.08163149165880784,0.0460472830151865
0.16,0.26,325448.0,214598,21121,10289,0.8723212253260056,0.08585493154694156,0.04182384312705278
0.16,0.27,325448.0,214598,21121,10289,0.8723212253260056,0.08585493154694156,0.04182384312705278
0.16,0.28,325448.0,214598,21522,9888,0.8723212253260056,0.08748495983870443,0.04019381483528991
0.16,0.29,325448.0,214598,24573,6837,0.8723212253260056,0.09988699554486033,0.02779177912913401
0.16,0.3,325448.0,214598,25981,5429,0.8723212253260056,0.10561038665409254,0.022068388019901793
0.16,0.31,325448.0,214598,26878,4532,0.8723212253260056,0.10925660954115313,0.018422165132841208
0.16,0.32,325448.0,214598,28025,3385,0.8723212253260056,0.1139190595427791,0.013759715131215246
0.16,0.32999999999999996,325448.0,214598,28025,3385,0.8723212253260056,0.1139190595427791,0.013759715131215246
0.16,0.33999999999999997,325448.0,214598,28043,3367,0.8723212253260056,0.1139922278950278,0.013686546778966538
0.16,0.35,325448.0,214598,28043,3367,0.8723212253260056,0.1139922278950278,0.013686546778966538
0.16,0.36,325448.0,214598,28043,3367,0.8723212253260056,0.1139922278950278,0.013686546778966538
0.16,0.37,325448.0,214598,28853,2557,0.8723212253260056,0.11728480374621963,0.010393970927774707
0.16,0.38,325448.0,214598,28853,2557,0.8723212253260056,0.11728480374621963,0.010393970927774707
0.16,0.39,325448.0,214598,29511,1899,0.8723212253260056,0.11995951351175571,0.007719261162238626
